ano,raca_cor,empregos_formais_ativos_31_12,total_ano,fonte_tabela,status_serie,nota_metodologica,fonte_arquivo,fonte_url,fonte_pagina,hash_fonte
2013,amarela,1107,111881,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2013,branca,69523,111881,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2013,indigena,189,111881,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2013,parda,29660,111881,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2013,preta,5599,111881,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,amarela,992,99642,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,branca,60189,99642,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,indigena,189,99642,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,parda,27422,99642,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
2014,preta,4886,99642,Tabela 2,oficial_ancine_reconstruida_pdf_2011_2021,"Serie documental transcrita da Tabela 2 do estudo ANCINE Genero e Raca no Setor Audiovisual 2011-2021, secao RAIS. O proprio estudo informa que registros sem identificacao de raca ou cor nao entram nas analises subsequentes.",estudo-genero-e-raca-no-setor-audiovisual-2011-2021.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/7e062995b4ed488fb68616ad39e3e81e,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,35e8dd7c0f6f5a2af364aa87428d14eae148008fa04fea273345e00dc4689b5e
